InstanceCount, QoS, Delay, Subscription QoS, Rate of messages, Message Loss, Out of order messages, median inter message gaps, $SYS/broker/load/messages/received/1min, $SYS/broker/load/messages/sent/1min, $SYS/broker/clients/connected, $SYS/broker/load/publish/dropped/1min
1,0,0,1,15685.7,-Infinity,0.004462663445048675,0,224004.39,463832.37,7,0.05
1,0,1,1,590.0,-Infinity,0.01694915254237288,0,206348.77,425857.75,7,0.05
1,0,2,1,551.8,-Infinity,0.01812250815512867,0,152381.30,313874.49,7,0.05
1,0,4,1,149.9,-Infinity,0.06671114076050699,0,127226.05,262023.94,7,0.05
1,1,0,1,2290.3,-Infinity,0.008732480461074969,0,123606.22,245179.45,7,0.05
1,1,1,1,296.1,-Infinity,0.033772374197906116,0,110535.07,207230.60,7,0.05
1,1,2,1,391.6,-Infinity,0.02553626149131767,1,98363.14,182030.84,7,0.05
1,1,4,1,124.9,-Infinity,0.08006405124099279,1,84296.70,155150.78,7,0.05
1,2,0,1,2144.1,-Infinity,0.009327923137913344,1,112982.41,180598.52,7,0.05
1,2,1,1,288.3,-Infinity,0.0346860908775581,1,99732.62,157915.56,7,0.05
1,2,2,1,320.4,-Infinity,0.031210986267166042,1,84114.67,129444.06,7,0.05
1,2,4,1,118.0,-Infinity,0.0847457627118644,1,71302.01,109463.16,7,0.05
2,0,0,1,31592.3,-Infinity,9.495984781101724E-4,1,197792.88,366659.59,7,0.05
2,0,1,1,1068.4,-Infinity,0.018719580681392737,1,271716.07,523376.45,7,0.05
2,0,2,1,992.2,-Infinity,0.020157226365652085,1,234853.70,452998.44,7,0.05
2,0,4,1,280.2,-Infinity,0.07137758743754462,2,197860.76,381796.85,7,0.05
2,1,0,1,2612.6,-Infinity,0.015310418739952538,2,184364.35,336530.75,7,0.05
2,1,1,1,622.7,-Infinity,0.03211819495744339,2,155703.68,283490.91,7,0.05
2,1,2,1,689.6,-Infinity,0.029002320185614848,2,144710.49,258635.56,7,0.05
2,1,4,1,276.0,-Infinity,0.07246376811594203,2,109445.76,192978.99,7,0.05
2,2,0,1,2947.2,-Infinity,0.013572204125950055,2,139094.87,225039.85,7,0.05
2,2,1,1,499.9,-Infinity,0.040008001600320066,2,138441.52,212028.29,7,0.05
2,2,2,1,584.3,-Infinity,0.03422899195618689,2,129436.27,195425.81,7,0.05
2,2,4,1,241.5,-Infinity,0.08281573498964803,2,110686.50,166597.99,7,0.05
3,0,0,1,44414.3,-Infinity,0.0011257610144457654,2,0,0,0,0
3,0,1,1,2848.3,-Infinity,0.010532598392023312,2,429519.52,824353.44,7,0.05
3,0,2,1,1668.6,-Infinity,0.017979144192736426,2,376830.59,724772.03,7,0.05
3,0,4,1,458.7,-Infinity,0.06540222367560497,2,271251.87,522472.80,7,0.05
3,1,0,1,2530.6,-Infinity,0.023709792144155535,2,262653.60,490999.30,7,0.05
3,1,1,1,629.6,-Infinity,0.03176620076238882,2,229677.56,425279.08,7,0.05
3,1,2,1,698.8,-Infinity,0.028620492272467084,2,179857.58,325765.39,7,0.05
3,1,4,1,258.0,-Infinity,0.07751937984496124,2,151413.68,273715.67,7,0.05
3,2,0,1,3033.8,-Infinity,0.013184784758388818,2,189204.08,302717.84,7,0.05
3,2,1,1,444.3,-Infinity,0.045014629754670264,2,161402.93,257198.59,7,0.05
3,2,2,1,563.9,-Infinity,0.07093456286575633,2,149818.71,234719.98,7,0.05
3,2,4,1,210.2,-Infinity,0.09514747859181732,2,115116.83,177726.19,7,0.05
4,0,0,1,35351.8,-Infinity,0.0014143551389179617,2,0,0,0,0
4,0,1,1,3468.0,-Infinity,0.008650519031141867,2,400043.29,762822.79,7,0.05
4,0,2,1,1629.9,-Infinity,0.018406037180195105,2,305029.05,584224.10,7,0.05
4,0,4,1,477.1,-Infinity,0.06287989939216097,2,254928.82,488337.39,7,0.05
4,1,0,1,2262.9,-Infinity,0.026514649343762426,2,232862.40,439579.80,7,0.05
4,1,1,1,901.9,-Infinity,0.033263111209668475,2,189187.39,346353.48,7,0.05
4,1,2,1,1068.7,-Infinity,0.028071488724618694,2,178316.01,319564.03,7,0.05
4,1,4,1,372.8,-Infinity,0.08047210300429185,2,136136.04,240306.77,7,0.05
4,2,0,1,1279.3,-Infinity,0.0469006487923083,2,142176.18,238703.03,7,0.05
4,2,1,1,601.2,-Infinity,0.049900199600798396,2,125766.69,208594.08,7,0.05
